name,qid,gender
Giovanni Niccolò Boldon,,
Rainieri Cenci,,
Girolamo Bonsoni,,
Pietro Maria Suarez,Q3904047,male
Benedetto Pasqualigo,Q41617383,male
Guido Guidi,,
Luigi Alamanni,Q721846,male
M. Conte di Monte,,
Pier Francesco Goano,,
Giovanni Piazzon,,
Benedetto Giorgio Bravi,,
Giovanni Battista Leoni,Q19357554,male
Carlo Paganicesa,,
Girolamo Frisari,Q113866193,male
Andrea Gionti,,
Francesco Fiamma,,
Bernardino Marescotti,,
Giambatista Zangarini,,
Francesco Bertoldi,,
Francesco Sallustio Buonguglielmi,,
Domenico Repetta,,
Giacomo Turamini,,
Alessandro Bovio,,
Giorgio Masotti,,
Ottavio Tronsarelli,Q113853427,male
Vincenzo Giattini,,
Vincenzo Parisi,,
Antonio Santin,Q605025,male
Ilario Mancini,,
Giulio Cesare Bagnoli,Q110627466,male
Benedetto Marcello,Q312784,male
Camillo Contarini,,
Andrea Perucci,,
Pier Giovanni Balestrieri,,
Domizio Bombarda,,
Gioachino Bona,,
Giovanni Francesco Vita,,
Filippo Cappello,,
Fortunio Ralli,,
Bartolomeo Vitturi,Q809511,male
Girolamo Brusoni,Q3768903,male
Lodovico Bartolaia,Q98635929,male
Giacomo Castoreo,,
Paolo Emilio Badi,,
Giacomo Ariberti,,
Luigi Giusti,Q3107672,male
Giulio Sacrati,,
Angiovino Fidelno Nitano,,
Leone Parisetti,,
Giambatista Fusconi,,
Francesco Cini,,
Ottavio Rinuccini,Q443900,male
Giuseppe di Palma,,
Vincenzo Giusti,Q55228359,male
Francesco Zucchi,,
Vincenzo Cassani,Q2526858,male
Angelo  Schietti,Q102279160,male
Antonio Cotrona,,
Antonio Pacinelli,,
Rinaldo Cialli,Q115742014,male
Lorenzino de' Medici,Q1050480,male
Giovanni Aleardo Pisani,,
Giovanni Zito,,
Giuseppe Amati,Q3769953,male
Carlo Goldoni,Q165534,male
Carlo de' Dottori,Q3659984,male
Bonavventura Navesi,,
Giovanni Bonicelli,Q87067866,male
Andreano de' Ruggiers,,
Francesco Maria de Luco Sereni,,
Giambattista Calderari,,
Antonio Muscettola,Q3619934,male
Giovanni Palazzi,Q112469750,male
Orazio Persio,Q124616618,male
Bartolommeo Castoreo,,
Domenico Filippo Casanova,,
Giambatista Visconte,,
Giovanni Pietro Riva,,
Fulvio Testi,Q594614,male
Francesco Santorini,,
Giambatista Galliani,,
Giulio Agosti,Q110937135,male
Giacomo Castellani,Q96404958,male
Pietro Romolo Pignata,,
Francesco la Bruna,,
Giovanni Ondedei,Q19113141,male
Giovanni Antonio Spinola,Q117459155,male
Giovanni Ramelli,,
Giovanni Maria Cecchi,Q426305,male
Gasparo Polo,,
Teofilo de' Buoni,,
Maurizio Moro,Q6793850,male
Giovanni Cristiano Zeucher,,
Giambatista de' Franchi,,
Apollonio Apolloni,,
Gioseppo Gorini Corio,,
Accademico Quirino,,
Pietro Urbano,Q7193048,male
Coreggio Accademico Scioperato,,
Giambattista della Porta,Q334154,male
Ottone Lazzaro Scacco,,
Giovanni Ralli,,
Giulio Cesare Sorrentino,Q103844548,male
Giovanni della Motta,,
Giambatista Brandi,,
Fiso Accademico Sventato,,
Rannuzio Pallavicino,Q3419011,male
Girolamo Zoppio,Q523931,male
Accademici Catenati,,
Fausto Ferrari,,
Giovanni Guidotti,Q55483722,male
Francesco Garbarino,Q16557238,male
Farnelio Gioachino Panasitti,,
Antonio Conti,,
Francesco Bresciani,Q41567118,male
Giovanni Battista Manzini,Q52149190,male
Plautus,Q47160,male
Cristoforo Sicinio,,
Leo Allatius,Q725712,male
Giacomo dell'Angelo,,
Giambatista Bertageni,,
Benvenuto Flori,,
Ottavio Brescianini,,
Pier Angelo Zaguri,Q102287657,male
Tommaso Sasso,,
Giambattista Basile,Q555291,male
Francesco di Lemene,,
Agostino Piovene,Q20750793,male
Silvano Razzi,Q59526715,male
Bartolommeo Riccio,,
Giuseppe Gorini Corio,Q55228417,male
Giulio Cesare Croce,Q2640854,male
Giuseppe Galuppi,,
Paolo Antonio Valmarana,Q21289599,male
Michele Bua,,
Socci Perrettano,,
Cornelio Lanci,,
Fumoso della Congrega de' Rozzi,,
Jacopo Cordelli,,
Giovanni Vincenzo Vita,,
Giambatista Guvione,,
Francesco Belo,Q29867467,male
Niccolò Secchi,Q110083587,male
Scipione Francucci,,
Onofrio Onofri,Q35619783,male
Giovanni Brivio,,
Buonafede Vitali,Q3647120,male
Vincenzo Nolfi,Q25930112,male
Domenico Fortunati,,
Girolamo Giusti,Q27684108,male
Angela d'Orso,,
Giovanni Francesco Loredano,Q3767277,male
Giorgio Maria Rapparini,Q1525490,male
Giulio Cesare Allegri,,
Francesco Bernardo,,
